iter	RMSE
0	0.7644376431
1	0.7574086462
2	0.7514494737
3	0.746238389
4	0.740701804
5	0.7356518271
6	0.7321089217
7	0.7269738169
8	0.722303526
9	0.7186733825
10	0.7143209764
11	0.7108123671
12	0.707380002
13	0.7038939846
14	0.7015618521
15	0.69827275
16	0.6955509568
17	0.6928711047
18	0.6900742575
19	0.6884265155
20	0.6865036969
21	0.6848378352
22	0.6824972823
23	0.6807160221
24	0.6794581633
25	0.6777035169
26	0.6759571254
27	0.6744626187
28	0.6730711687
29	0.6708788235
30	0.6692199569
31	0.667117316
32	0.6656057288
33	0.6644034117
34	0.6629047194
35	0.6615870347
36	0.660555011
37	0.6592151578
38	0.65837627
39	0.6576060453
40	0.6563310263
41	0.6552359295
42	0.6537301268
43	0.6529145894
44	0.6518470952
45	0.6509834443
46	0.6498753388
47	0.6487590307
48	0.6481791229
49	0.647322729
50	0.6463162552
51	0.6455615769
52	0.6449066236
53	0.6440296221
54	0.6432987401
55	0.6422724601
56	0.6412235299
57	0.6409456979
58	0.6402692862
59	0.6397661677
60	0.6387143338
61	0.6379714078
62	0.6369102526
63	0.6362337786
64	0.6357388636
65	0.6352614252
66	0.6345497166
67	0.6341325083
68	0.633509161
69	0.6326672256
70	0.632066587
71	0.6316898985
72	0.6311829852
73	0.6306489871
74	0.6302712816
75	0.6295297299
76	0.6289170732
77	0.6285051688
78	0.6280888591
79	0.6278639482
80	0.6274877617
81	0.6269632582
82	0.6263607708
83	0.6260528791
84	0.6256483703
85	0.6251557146
86	0.6248249728
87	0.624549515
88	0.6242504586
89	0.6237254832
90	0.6234746503
91	0.6230846476
92	0.6225619921
93	0.622249079
94	0.6218013033
95	0.6213278156
96	0.6203430143
97	0.6200293002
98	0.6194621924
99	0.6190259065
100	0.6188173828
101	0.6182119706
102	0.6176198061
103	0.6173001198
104	0.6166986469
105	0.6163668219
106	0.6156896534
107	0.6154922151
108	0.6151438761
109	0.6150374123
110	0.6149160083
111	0.6146462165
112	0.6144565615
113	0.6140672653
114	0.6139767322
115	0.6133633676
116	0.6130683998
117	0.6129062105
118	0.6127586315
119	0.6125312465
120	0.6120244215
121	0.6115694926
122	0.6112073504
123	0.6108425481
124	0.610365365
125	0.6095125402
126	0.6092471916
127	0.6090666457
128	0.6086443405
129	0.6083390107
130	0.6080734395
131	0.6077792026
132	0.6075067093
133	0.6065400644
134	0.6062604529
135	0.6059780957
136	0.6058202233
137	0.6054861102
138	0.6050204601
139	0.6044523096
140	0.6040425922
141	0.6033378134
142	0.6029076765
143	0.6026813773
144	0.6026169301
145	0.6024337329
146	0.6018316958
147	0.6010255654
148	0.6005895045
149	0.600268386
150	0.6001466501
151	0.6000475142
152	0.5998049674
153	0.5996872485
154	0.5995800807
155	0.5993249985
156	0.598797561
157	0.5985619007
158	0.5982000272
159	0.5978350928
160	0.597458304
161	0.5969940915
162	0.5968176618
163	0.5966419571
164	0.5964806913
165	0.5961351063
166	0.5957264625
167	0.5950766685
168	0.5946759268
169	0.5942029918
170	0.5940341147
171	0.5938600423
172	0.5935089412
173	0.593193071
174	0.592520696
175	0.5923244666
176	0.5922492034
177	0.5919933396
178	0.5919027913
179	0.5916067638
180	0.5914637463
181	0.5913390166
182	0.5906780407
183	0.590017481
184	0.5895714984
185	0.5894639921
186	0.5892966121
187	0.5890190907
188	0.588776769
189	0.588253566
190	0.588041805
191	0.5872149508
192	0.5867157186
193	0.5859830533
194	0.5858188449
195	0.5855820834
196	0.5854568167
197	0.5853523515
198	0.5850453034
199	0.5849482678
