iter	Passed	Remaining
0	14	2902
1	16	1614
2	17	1170
3	19	951
4	21	852
5	23	768
6	25	701
7	26	642
8	30	638
9	31	597
10	34	585
11	35	560
12	38	549
13	41	550
14	43	535
15	45	521
16	48	517
17	50	508
18	52	503
19	55	499
20	58	494
21	60	487
22	62	480
23	64	473
24	66	463
25	68	456
26	70	452
27	72	444
28	78	461
29	80	458
30	83	456
31	86	452
32	88	446
33	90	443
34	93	439
35	95	433
36	96	426
37	98	421
38	100	414
39	102	408
40	103	403
41	105	396
42	106	388
43	108	385
44	110	379
45	114	382
46	117	382
47	118	375
48	120	371
49	122	366
50	123	361
51	125	357
52	127	352
53	129	349
54	130	344
55	132	341
56	134	337
57	136	333
58	137	329
59	139	325
60	140	320
61	142	316
62	143	313
63	146	310
64	148	309
65	150	305
66	151	301
67	153	298
68	155	294
69	156	290
70	158	287
71	160	284
72	161	281
73	163	277
74	164	274
75	167	272
76	169	270
77	170	266
78	172	264
79	174	261
80	176	258
81	178	256
82	180	254
83	182	251
84	183	248
85	185	245
86	187	243
87	188	240
88	190	237
89	192	235
90	194	233
91	197	231
92	199	229
93	203	229
94	206	228
95	208	225
96	210	223
97	211	220
98	213	218
99	215	215
100	217	213
101	218	209
102	220	207
103	222	205
104	224	203
105	226	200
106	227	197
107	229	195
108	230	192
109	232	189
110	233	187
111	234	184
112	236	182
113	238	179
114	240	177
115	242	175
116	244	173
117	246	170
118	247	168
119	249	166
120	250	163
121	252	161
122	254	159
123	256	157
124	258	154
125	260	152
126	262	150
127	264	148
128	266	146
129	268	144
130	271	142
131	273	140
132	275	138
133	276	136
134	278	134
135	280	132
136	282	129
137	284	127
138	285	125
139	287	123
140	289	120
141	291	118
142	292	116
143	294	114
144	298	113
145	299	110
146	301	108
147	303	106
148	305	104
149	307	102
150	309	100
151	311	98
152	312	96
153	314	93
154	316	91
155	317	89
156	319	87
157	321	85
158	322	83
159	324	81
160	326	78
161	327	76
162	329	74
163	330	72
164	332	70
165	333	68
166	335	66
167	337	64
168	339	62
169	340	60
170	342	58
171	344	56
172	345	53
173	347	51
174	348	49
175	350	47
176	351	45
177	353	43
178	354	41
179	356	39
180	359	37
181	361	35
182	362	33
183	363	31
184	366	29
185	367	27
186	368	25
187	370	23
188	372	21
189	374	19
190	375	17
191	377	15
192	378	13
193	379	11
194	381	9
195	382	7
196	384	5
197	385	3
198	386	1
199	388	0
