iter	RMSE
0	0.7637566083
1	0.7568826846
2	0.7518578726
3	0.7461140976
4	0.7403422207
5	0.7348758813
6	0.7301146421
7	0.7264580994
8	0.7222057526
9	0.7178761834
10	0.713428494
11	0.7100751175
12	0.7063590557
13	0.7031422945
14	0.6998377709
15	0.6970687639
16	0.6945720278
17	0.6916933312
18	0.6894862648
19	0.6872612517
20	0.6849419103
21	0.6825113557
22	0.6801048701
23	0.6781296514
24	0.6764554429
25	0.6743406273
26	0.6728122478
27	0.6712532658
28	0.6695576922
29	0.6679280895
30	0.6664260671
31	0.6647017824
32	0.6631548051
33	0.6619965236
34	0.6609551117
35	0.659763729
36	0.6584498577
37	0.6570914928
38	0.6556488725
39	0.65460465
40	0.6532334843
41	0.6519724089
42	0.650715895
43	0.649621554
44	0.6483806363
45	0.6473487059
46	0.6465837218
47	0.645504783
48	0.6445467267
49	0.6433550153
50	0.6422743916
51	0.6414546676
52	0.6407249036
53	0.6398752207
54	0.6389752419
55	0.6382010057
56	0.6373808709
57	0.6368086911
58	0.6359564802
59	0.6351151108
60	0.6346333962
61	0.6339163179
62	0.6332570949
63	0.6326655937
64	0.6318638564
65	0.6312713803
66	0.6306370983
67	0.6300593517
68	0.6294159187
69	0.6286024859
70	0.6279639293
71	0.6271984007
72	0.6265297775
73	0.6259563346
74	0.6253714198
75	0.6246837331
76	0.6241266088
77	0.6234478042
78	0.6231722427
79	0.6223870477
80	0.6218939682
81	0.6215468244
82	0.6208436768
83	0.6204079613
84	0.6197831872
85	0.6190392179
86	0.6184955075
87	0.618195083
88	0.6177383598
89	0.6172023668
90	0.6168980216
91	0.6161177583
92	0.6157093582
93	0.6153267266
94	0.6148098571
95	0.6143768841
96	0.6139093451
97	0.6133635867
98	0.6129394128
99	0.6125760424
100	0.6121966699
101	0.6119061201
102	0.6113540352
103	0.6107547008
104	0.6103034551
105	0.6099282528
106	0.6094729663
107	0.6091844785
108	0.6087053756
109	0.6078669744
110	0.6075770234
111	0.607270942
112	0.606743345
113	0.6064582553
114	0.606281481
115	0.6057459265
116	0.6055816297
117	0.6049604169
118	0.6047698978
119	0.6046684318
120	0.6042204807
121	0.6038090159
122	0.6034653497
123	0.6031602988
124	0.60289245
125	0.6026632142
126	0.6022706163
127	0.6015394189
128	0.6011153541
129	0.6003846499
130	0.5996200262
131	0.5988659408
132	0.5983113948
133	0.5979661606
134	0.5977285061
135	0.5973146879
136	0.5969859769
137	0.5968340211
138	0.5962028429
139	0.5959333732
140	0.5956530097
141	0.5953666248
142	0.5950791246
143	0.594819595
144	0.5943601811
145	0.5939810413
146	0.5936043875
147	0.5932395874
148	0.59278155
149	0.5922691472
150	0.5920751303
151	0.5918574629
152	0.5914520074
153	0.5908972123
154	0.5905474651
155	0.5898381283
156	0.5894679519
157	0.5890229978
158	0.5887718474
159	0.5885883051
160	0.5879887437
161	0.5871011096
162	0.5869602848
163	0.5868657868
164	0.586412389
165	0.5862161028
166	0.5857431535
167	0.585336642
168	0.585161587
169	0.5850064694
170	0.5839361455
171	0.5835621734
172	0.5832508495
173	0.5828589264
174	0.5824675613
175	0.5821720533
176	0.581606399
177	0.5810146249
178	0.5808029362
179	0.580314247
180	0.5801053394
181	0.5798741621
182	0.5793650746
183	0.5790471074
184	0.5780544675
185	0.5778117605
186	0.5771048746
187	0.5764826601
188	0.5761348564
189	0.5759045466
190	0.5758350398
191	0.5753175196
192	0.575081058
193	0.5748470843
194	0.5743789632
195	0.5738789166
196	0.5732059372
197	0.5729794566
198	0.572903956
199	0.5728098741
