iter	Passed	Remaining
0	10	2010
1	11	1171
2	12	843
3	13	673
4	14	578
5	16	519
6	16	466
7	18	434
8	18	402
9	20	382
10	21	368
11	23	365
12	24	347
13	25	332
14	25	319
15	27	312
16	28	303
17	29	294
18	29	285
19	30	277
20	31	270
21	33	272
22	34	265
23	35	259
24	36	253
25	37	248
26	37	243
27	39	244
28	40	240
29	41	235
30	42	230
31	43	226
32	44	223
33	45	222
34	46	219
35	47	216
36	48	212
37	49	210
38	50	209
39	51	206
40	52	203
41	53	200
42	54	197
43	55	195
44	56	192
45	57	191
46	58	189
47	58	186
48	59	184
49	60	182
50	61	180
51	63	179
52	64	178
53	65	176
54	66	175
55	67	173
56	68	172
57	70	171
58	70	169
59	71	167
60	72	165
61	73	164
62	75	163
63	76	162
64	77	160
65	77	158
66	79	158
67	81	157
68	81	155
69	82	153
70	83	151
71	84	150
72	85	148
73	86	147
74	87	146
75	88	144
76	89	142
77	90	141
78	91	139
79	92	139
80	94	138
81	95	136
82	95	135
83	97	133
84	98	133
85	99	131
86	100	130
87	101	128
88	102	127
89	103	125
90	104	125
91	105	123
92	106	122
93	107	120
94	108	119
95	109	118
96	110	117
97	111	116
98	112	114
99	113	113
100	114	112
101	115	111
102	116	109
103	117	108
104	118	107
105	119	105
106	120	104
107	121	103
108	122	102
109	123	100
110	124	99
111	125	98
112	125	96
113	127	95
114	128	94
115	129	93
116	130	92
117	130	91
118	131	89
119	133	88
120	134	87
121	135	86
122	136	85
123	137	84
124	138	82
125	139	81
126	140	80
127	141	79
128	142	78
129	143	77
130	144	75
131	145	74
132	146	73
133	147	72
134	148	71
135	148	70
136	149	68
137	151	67
138	152	66
139	153	65
140	154	64
141	154	63
142	156	62
143	157	61
144	158	60
145	160	59
146	160	58
147	162	56
148	163	55
149	164	54
150	164	53
151	165	52
152	166	51
153	167	50
154	169	49
155	170	48
156	171	46
157	172	45
158	173	44
159	174	43
160	175	42
161	176	41
162	177	40
163	178	39
164	179	37
165	180	36
166	181	35
167	182	34
168	183	33
169	184	32
170	185	31
171	186	30
172	187	29
173	188	28
174	189	27
175	189	25
176	190	24
177	191	23
178	193	22
179	193	21
180	194	20
181	195	19
182	196	18
183	197	17
184	198	16
185	199	15
186	200	13
187	201	12
188	202	11
189	203	10
190	204	9
191	205	8
192	206	7
193	207	6
194	208	5
195	209	4
196	210	3
197	211	2
198	212	1
199	213	0
