iter	RMSE
0	0.7638941227
1	0.7580290098
2	0.7523454213
3	0.7471021271
4	0.7414872103
5	0.7367760567
6	0.7335651445
7	0.7281543757
8	0.723726631
9	0.7194176792
10	0.7157489745
11	0.7122376182
12	0.7094298494
13	0.7059756574
14	0.7030196294
15	0.6999649733
16	0.6978427947
17	0.6950972766
18	0.6924339755
19	0.6906309196
20	0.6887666072
21	0.6870572354
22	0.6847359578
23	0.6830387896
24	0.6811470973
25	0.6793082064
26	0.6777349494
27	0.6763035551
28	0.6750110626
29	0.6730716168
30	0.6717415873
31	0.6701362505
32	0.6686504667
33	0.667344716
34	0.6658691274
35	0.6643252716
36	0.6633428603
37	0.6624846966
38	0.6616199443
39	0.6606976483
40	0.6595344643
41	0.6584188228
42	0.6569498523
43	0.6556380819
44	0.6544185966
45	0.6530107747
46	0.6517053297
47	0.6507272524
48	0.6498376316
49	0.6492184715
50	0.6486325481
51	0.6477880643
52	0.6472226147
53	0.646095256
54	0.6454280788
55	0.6443099141
56	0.6434325547
57	0.643097916
58	0.6419985117
59	0.6412483485
60	0.6402151479
61	0.6392015009
62	0.6384093997
63	0.6375362958
64	0.6372846225
65	0.6366402858
66	0.6358901224
67	0.6351884717
68	0.6344498854
69	0.6336303535
70	0.63301222
71	0.6327989919
72	0.6319222315
73	0.6312839035
74	0.6309525919
75	0.6303772307
76	0.6295167732
77	0.6289104656
78	0.6286796295
79	0.628402068
80	0.6281540892
81	0.6277446866
82	0.6274666103
83	0.6271260665
84	0.6267147427
85	0.6261933546
86	0.6257630609
87	0.6252432984
88	0.6247324487
89	0.6240593182
90	0.6236676712
91	0.6229456528
92	0.6226587494
93	0.621834602
94	0.6214511699
95	0.6210266375
96	0.6203931965
97	0.6198744076
98	0.6192169347
99	0.6184369392
100	0.6181520744
101	0.6177862734
102	0.6171711541
103	0.6168140302
104	0.6163633971
105	0.6159692229
106	0.615518098
107	0.6151376817
108	0.6145511016
109	0.6143283033
110	0.6141200578
111	0.6137791961
112	0.6136931611
113	0.6130979899
114	0.612958755
115	0.6125255813
116	0.6123937164
117	0.6121283244
118	0.6119246949
119	0.6114896181
120	0.6110724027
121	0.6107054376
122	0.6105026698
123	0.610169881
124	0.6094413889
125	0.6089841915
126	0.6085436127
127	0.6082704241
128	0.6080596352
129	0.6074117649
130	0.6071368818
131	0.6066663661
132	0.6062322796
133	0.6055788951
134	0.6053380072
135	0.6050767263
136	0.6044026661
137	0.6042057812
138	0.6036562371
139	0.6032169172
140	0.6028443206
141	0.6027609803
142	0.6025221436
143	0.602180351
144	0.6019272972
145	0.6015260535
146	0.6009965334
147	0.6004926331
148	0.5999792038
149	0.5994538276
150	0.5993238118
151	0.5991625633
152	0.5987446937
153	0.5986855088
154	0.598382771
155	0.5979322518
156	0.5976136612
157	0.596969117
158	0.5966763142
159	0.5961901606
160	0.5957778081
161	0.5954115782
162	0.5951605812
163	0.5949828311
164	0.5948341273
165	0.5942981451
166	0.5938969176
167	0.5933774544
168	0.5927224178
169	0.5924632168
170	0.5919058825
171	0.5918117076
172	0.5914074745
173	0.590926385
174	0.5907195661
175	0.5905349802
176	0.590113744
177	0.5899390584
178	0.5894972871
179	0.588917604
180	0.5886351276
181	0.5881020355
182	0.5878755627
183	0.5872781989
184	0.5869580726
185	0.5868842529
186	0.5863365894
187	0.5855686833
188	0.5852626955
189	0.5850355128
190	0.5846039491
191	0.5844398492
192	0.5843440721
193	0.584074221
194	0.5832861941
195	0.5828181997
196	0.5821963899
197	0.5820045876
198	0.5818153543
199	0.5816943619
