iter	Passed	Remaining
0	14	2795
1	15	1541
2	17	1121
3	18	902
4	19	779
5	21	696
6	22	626
7	27	654
8	28	612
9	29	569
10	31	541
11	32	512
12	34	490
13	35	467
14	37	463
15	38	445
16	41	443
17	42	433
18	44	420
19	45	411
20	46	398
21	48	389
22	49	382
23	50	372
24	51	363
25	53	355
26	54	347
27	55	343
28	57	336
29	58	329
30	59	322
31	60	318
32	61	313
33	63	307
34	64	302
35	65	297
36	67	297
37	68	292
38	69	288
39	70	283
40	72	281
41	73	277
42	74	272
43	75	268
44	76	264
45	79	264
46	80	261
47	81	257
48	82	253
49	83	251
50	85	248
51	86	245
52	87	243
53	89	242
54	90	239
55	92	236
56	93	234
57	95	233
58	96	231
59	97	228
60	98	225
61	100	223
62	102	223
63	104	221
64	105	218
65	106	215
66	107	212
67	108	210
68	109	208
69	110	205
70	111	203
71	112	200
72	114	199
73	115	196
74	116	194
75	117	192
76	119	190
77	120	187
78	121	185
79	122	183
80	123	181
81	124	179
82	126	177
83	127	176
84	128	173
85	129	171
86	130	169
87	132	168
88	133	166
89	134	164
90	135	162
91	136	160
92	138	159
93	139	157
94	140	155
95	141	153
96	143	151
97	144	150
98	145	148
99	146	146
100	148	145
101	150	144
102	151	142
103	152	141
104	154	139
105	155	137
106	156	136
107	157	134
108	159	132
109	160	131
110	162	130
111	163	128
112	164	126
113	166	125
114	167	123
115	168	122
116	169	120
117	170	118
118	171	116
119	173	115
120	174	113
121	175	112
122	176	110
123	178	109
124	179	107
125	180	106
126	181	104
127	182	102
128	184	101
129	185	99
130	186	98
131	187	96
132	188	95
133	191	94
134	192	92
135	193	91
136	195	89
137	196	88
138	197	86
139	198	85
140	199	83
141	201	82
142	202	80
143	203	79
144	204	77
145	205	76
146	206	74
147	208	73
148	209	71
149	210	70
150	211	68
151	213	67
152	215	66
153	216	64
154	217	63
155	218	61
156	219	60
157	221	58
158	222	57
159	223	55
160	225	54
161	226	53
162	227	51
163	228	50
164	229	48
165	231	47
166	232	45
167	233	44
168	234	43
169	235	41
170	237	40
171	238	38
172	240	37
173	241	36
174	243	34
175	244	33
176	245	31
177	247	30
178	249	29
179	251	27
180	252	26
181	253	25
182	255	23
183	256	22
184	257	20
185	259	19
186	260	18
187	262	16
188	263	15
189	264	13
190	265	12
191	267	11
192	269	9
193	270	8
194	272	6
195	274	5
196	275	4
197	277	2
198	283	1
199	285	0
