iter	RMSE
0	0.764057706
1	0.7578335754
2	0.751699476
3	0.7463166234
4	0.7416666998
5	0.7367171227
6	0.7325078049
7	0.7283393857
8	0.7237435653
9	0.7192136257
10	0.7154510784
11	0.7117681741
12	0.7081845736
13	0.70512208
14	0.7022144353
15	0.6992790488
16	0.6971347682
17	0.6948322904
18	0.6925259291
19	0.6903105497
20	0.6881034937
21	0.6854921577
22	0.6832091859
23	0.6810964929
24	0.6793168646
25	0.6776270549
26	0.6762766564
27	0.6748896442
28	0.6730757966
29	0.6713542031
30	0.6699105576
31	0.6682701307
32	0.6665824399
33	0.664973173
34	0.6640363286
35	0.6628362983
36	0.6615597317
37	0.6604808524
38	0.6593502015
39	0.6584551831
40	0.657764779
41	0.6567397017
42	0.6554086602
43	0.6542495161
44	0.653345259
45	0.6525004328
46	0.6517218989
47	0.6507456127
48	0.649998208
49	0.6489977521
50	0.6480808916
51	0.6471116594
52	0.6463311733
53	0.6451394297
54	0.6445317989
55	0.6436738721
56	0.643328461
57	0.6423185236
58	0.6419214193
59	0.6407703397
60	0.6403013936
61	0.6396492138
62	0.6391083756
63	0.6384989024
64	0.6377637039
65	0.6368612479
66	0.6365602033
67	0.635830494
68	0.6355633314
69	0.6351816163
70	0.6346234821
71	0.6337345609
72	0.6331635939
73	0.6325192036
74	0.6313984151
75	0.6305876724
76	0.6299197476
77	0.6296541222
78	0.6289585041
79	0.6281063773
80	0.6273791227
81	0.6267205557
82	0.6262539545
83	0.6256757046
84	0.6253896452
85	0.6249140438
86	0.6245075273
87	0.6239180118
88	0.6234154556
89	0.6227431172
90	0.621994224
91	0.6217028386
92	0.6212717336
93	0.6209633013
94	0.6205027711
95	0.6196782072
96	0.6186807769
97	0.6179979976
98	0.6175302287
99	0.6169217748
100	0.61635875
101	0.6157221117
102	0.6152398065
103	0.6146813519
104	0.614143085
105	0.6136649996
106	0.6131812801
107	0.6130276075
108	0.6124259589
109	0.6119578513
110	0.6114708388
111	0.6111890374
112	0.6105197213
113	0.6102468396
114	0.6099687874
115	0.609341211
116	0.6084936455
117	0.6079904535
118	0.6072604126
119	0.6069668887
120	0.6062398332
121	0.6057769862
122	0.6054877769
123	0.6049132602
124	0.6043952944
125	0.6043250717
126	0.603886654
127	0.6034784934
128	0.6030447509
129	0.6025906797
130	0.6022167766
131	0.6018921616
132	0.6015748039
133	0.6012371149
134	0.6008237349
135	0.6004649258
136	0.6002032077
137	0.5994576925
138	0.5989713581
139	0.5985135155
140	0.5982015746
141	0.5974462976
142	0.596703739
143	0.5965050757
144	0.5962426471
145	0.595758042
146	0.5955022507
147	0.5947039283
148	0.594531784
149	0.5939467893
150	0.5933199108
151	0.5927599125
152	0.5926199838
153	0.5922094644
154	0.5917505659
155	0.5915093467
156	0.591380598
157	0.5911437714
158	0.5905874194
159	0.5902394378
160	0.589976126
161	0.5893850806
162	0.5889562289
163	0.5884142031
164	0.587803869
165	0.5876999618
166	0.5874347311
167	0.5869633448
168	0.5866769141
169	0.5860984998
170	0.5852135977
171	0.5849581524
172	0.5844224033
173	0.5837768103
174	0.5834772036
175	0.5826967124
176	0.5825687139
177	0.5820063909
178	0.5813885404
179	0.5807626982
180	0.5804366399
181	0.5795892684
182	0.5793151004
183	0.5789226466
184	0.5786708875
185	0.5785495055
186	0.5780942304
187	0.5775956036
188	0.577453035
189	0.5772783176
190	0.5765415499
191	0.5760155913
192	0.5754517856
193	0.5751981343
194	0.5745082913
195	0.5738987608
196	0.5734167934
197	0.5729149481
198	0.5726341911
199	0.5723907779
