iter	Passed	Remaining
0	21	4180
1	24	2424
2	27	1828
3	31	1523
4	34	1354
5	37	1219
6	40	1114
7	43	1038
8	46	984
9	50	961
10	54	939
11	59	926
12	63	909
13	66	881
14	70	874
15	75	864
16	79	851
17	82	835
18	86	823
19	90	814
20	93	798
21	96	781
22	99	764
23	102	752
24	105	739
25	110	737
26	114	733
27	118	724
28	126	746
29	130	741
30	136	746
31	141	743
32	145	738
33	149	732
34	155	732
35	159	727
36	163	720
37	167	715
38	172	713
39	177	708
40	181	702
41	186	702
42	191	698
43	195	692
44	203	702
45	209	701
46	214	698
47	219	694
48	225	694
49	237	711
50	247	723
51	253	721
52	259	719
53	264	714
54	269	709
55	275	707
56	279	700
57	283	694
58	288	690
59	292	683
60	297	677
61	302	673
62	306	667
63	311	661
64	316	658
65	324	658
66	328	653
67	334	649
68	339	644
69	343	638
70	351	638
71	357	635
72	364	633
73	368	627
74	373	622
75	378	617
76	383	613
77	388	607
78	394	604
79	399	599
80	405	595
81	408	588
82	412	581
83	417	576
84	421	569
85	425	564
86	431	560
87	437	556
88	442	551
89	446	545
90	451	540
91	456	535
92	460	529
93	465	525
94	470	519
95	474	514
96	479	509
97	483	502
98	487	497
99	491	491
100	496	486
101	500	480
102	504	475
103	509	470
104	520	470
105	525	465
106	529	460
107	534	455
108	540	450
109	545	446
110	549	440
111	553	435
112	558	430
113	562	424
114	566	418
115	571	413
116	575	408
117	579	402
118	583	397
119	588	392
120	591	386
121	595	380
122	599	375
123	604	370
124	608	364
125	612	359
126	616	354
127	620	349
128	625	344
129	629	338
130	634	334
131	639	329
132	643	324
133	647	319
134	652	314
135	657	309
136	662	304
137	667	299
138	672	294
139	675	289
140	682	285
141	686	280
142	690	275
143	695	270
144	705	267
145	714	264
146	723	261
147	734	258
148	742	254
149	747	249
150	752	244
151	762	240
152	766	235
153	770	230
154	774	224
155	779	219
156	784	214
157	787	209
158	791	204
159	796	199
160	802	194
161	807	189
162	813	184
163	821	180
164	827	175
165	832	170
166	837	165
167	843	160
168	849	155
169	857	151
170	863	146
171	869	141
172	873	136
173	879	131
174	884	126
175	888	121
176	892	116
177	897	110
178	900	105
179	904	100
180	908	95
181	912	90
182	917	85
183	921	80
184	924	74
185	928	69
186	933	64
187	937	59
188	942	54
189	946	49
190	952	44
191	957	39
192	962	34
193	965	29
194	969	24
195	974	19
196	980	14
197	984	9
198	989	4
199	993	0
