iter	RMSE
0	0.7652284346
1	0.7591902648
2	0.7528392161
3	0.7484235606
4	0.7432160915
5	0.7379135963
6	0.7335865101
7	0.7294499133
8	0.7257856184
9	0.7217276864
10	0.7185409487
11	0.7149663664
12	0.7111640425
13	0.707397149
14	0.7042521956
15	0.7010385787
16	0.6985041456
17	0.6963827451
18	0.6936611314
19	0.6908226798
20	0.6882464387
21	0.6862053849
22	0.6840477808
23	0.6820905921
24	0.6799471193
25	0.6779946344
26	0.6764474249
27	0.6746641581
28	0.6730604083
29	0.671195343
30	0.6694152949
31	0.6682528583
32	0.6668917687
33	0.6652780476
34	0.6637114007
35	0.6628792592
36	0.6610239449
37	0.6597460129
38	0.6583677129
39	0.6573083942
40	0.6562920264
41	0.6552483789
42	0.6543132037
43	0.6534606929
44	0.6523003206
45	0.6510054821
46	0.6497013346
47	0.6487661913
48	0.6480692763
49	0.6467882478
50	0.6458718267
51	0.6448368977
52	0.6439139782
53	0.643217349
54	0.6422905382
55	0.6417347828
56	0.6407495745
57	0.6402226472
58	0.6393903965
59	0.6381331878
60	0.6377580287
61	0.6368696975
62	0.6358912248
63	0.6348728932
64	0.6343823584
65	0.6338865856
66	0.6332235486
67	0.6323026489
68	0.6315713697
69	0.6307407147
70	0.6298606542
71	0.62937866
72	0.6284559487
73	0.6281851944
74	0.6280225594
75	0.627451558
76	0.6266749904
77	0.6261742715
78	0.6254586914
79	0.6248869894
80	0.6244016936
81	0.6237240033
82	0.6233773565
83	0.6231391724
84	0.6225296776
85	0.6223136556
86	0.6218139024
87	0.6209953745
88	0.6206529021
89	0.6201668047
90	0.6197622109
91	0.6189823374
92	0.6182948036
93	0.6179716279
94	0.6174082122
95	0.6169650092
96	0.61650869
97	0.6158341189
98	0.6153193909
99	0.614629035
100	0.6141775902
101	0.6139630923
102	0.6133852031
103	0.6125932561
104	0.6124902185
105	0.6122539674
106	0.6114738969
107	0.6111656125
108	0.6104462661
109	0.6099983408
110	0.6096215768
111	0.6089375744
112	0.608401368
113	0.6075621086
114	0.6073032225
115	0.6067963933
116	0.6066593035
117	0.6061507333
118	0.6057530423
119	0.605215889
120	0.6047343726
121	0.6041355547
122	0.6036412658
123	0.6030760736
124	0.6027275354
125	0.6018805789
126	0.6012554075
127	0.6008761909
128	0.6004119023
129	0.6001284925
130	0.5994991651
131	0.5992847648
132	0.5988065616
133	0.5983640899
134	0.5981045446
135	0.5975950117
136	0.5973520043
137	0.5968646966
138	0.5962873478
139	0.5956774734
140	0.5952400498
141	0.594772172
142	0.5942865088
143	0.5938339085
144	0.5932940903
145	0.5929039743
146	0.5926793698
147	0.5920101335
148	0.5917950882
149	0.5913500928
150	0.5911001723
151	0.5905808002
152	0.5901400869
153	0.5896117718
154	0.5890772705
155	0.5886403371
156	0.5883767779
157	0.5882256032
158	0.5876892296
159	0.5872483069
160	0.586793888
161	0.5866217631
162	0.5857879508
163	0.5853620086
164	0.5851033096
165	0.5846689684
166	0.58406339
167	0.5833652182
168	0.5828058315
169	0.5820962691
170	0.581824647
171	0.5813656829
172	0.5808603252
173	0.5803584881
174	0.5797976082
175	0.5796630845
176	0.5793599373
177	0.5786918932
178	0.5786036502
179	0.5783006601
180	0.5777880069
181	0.5770738828
182	0.5769345429
183	0.5767365534
184	0.5765802992
185	0.5758871374
186	0.5755834982
187	0.5754658543
188	0.5751277807
189	0.5746911983
190	0.5745211499
191	0.5741808954
192	0.5735359338
193	0.5732804934
194	0.5727844987
195	0.5721799795
196	0.5719605862
197	0.5714744776
198	0.5712211867
199	0.5710864277
