iter	Passed	Remaining
0	22	4559
1	27	2687
2	31	2050
3	35	1739
4	38	1514
5	42	1362
6	45	1267
7	50	1209
8	54	1157
9	58	1108
10	62	1077
11	67	1055
12	70	1019
13	75	1004
14	79	983
15	83	961
16	87	943
17	93	941
18	97	932
19	102	921
20	105	903
21	109	889
22	113	872
23	117	861
24	121	849
25	125	839
26	128	821
27	131	809
28	135	796
29	139	791
30	143	780
31	145	766
32	149	757
33	154	755
34	161	762
35	165	754
36	169	745
37	173	739
38	176	730
39	181	725
40	185	718
41	188	709
42	193	705
43	197	699
44	201	695
45	206	691
46	210	683
47	216	685
48	224	690
49	230	691
50	235	688
51	241	686
52	245	680
53	250	676
54	254	672
55	258	665
56	263	660
57	267	654
58	271	649
59	275	643
60	279	637
61	284	632
62	289	628
63	292	621
64	296	615
65	300	610
66	306	607
67	310	602
68	314	597
69	318	591
70	322	586
71	327	582
72	333	580
73	343	584
74	349	582
75	353	577
76	358	573
77	364	569
78	367	563
79	371	557
80	377	553
81	380	547
82	384	541
83	387	535
84	391	529
85	395	523
86	398	518
87	403	513
88	406	507
89	409	500
90	413	495
91	419	491
92	424	488
93	428	483
94	432	478
95	436	472
96	440	467
97	444	462
98	447	456
99	452	452
100	455	446
101	459	441
102	462	436
103	465	429
104	469	424
105	471	418
106	475	413
107	478	407
108	482	402
109	486	397
110	489	392
111	493	387
112	496	382
113	500	377
114	504	372
115	508	367
116	512	363
117	515	358
118	518	353
119	522	348
120	525	343
121	529	338
122	531	333
123	535	327
124	537	322
125	541	318
126	544	313
127	547	307
128	550	303
129	553	298
130	557	293
131	559	288
132	563	284
133	566	279
134	570	274
135	572	269
136	576	265
137	579	260
138	582	255
139	585	250
140	588	246
141	592	241
142	594	237
143	598	232
144	601	228
145	605	223
146	608	219
147	612	215
148	618	211
149	621	207
150	624	202
151	628	198
152	631	193
153	635	189
154	638	185
155	641	180
156	645	176
157	647	172
158	651	167
159	653	163
160	656	159
161	660	154
162	663	150
163	666	146
164	670	142
165	674	138
166	678	134
167	681	129
168	684	125
169	688	121
170	692	117
171	694	113
172	698	108
173	702	104
174	706	100
175	710	96
176	713	92
177	718	88
178	722	84
179	725	80
180	730	76
181	735	72
182	739	68
183	741	64
184	745	60
185	750	56
186	753	52
187	757	48
188	759	44
189	762	40
190	766	36
191	769	32
192	773	28
193	776	24
194	780	20
195	783	15
196	786	11
197	789	7
198	792	3
199	794	0
