iter	Passed	Remaining
0	22	4555
1	25	2566
2	27	1837
3	30	1512
4	33	1292
5	35	1149
6	37	1027
7	39	936
8	42	896
9	44	838
10	46	799
11	49	773
12	52	760
13	55	738
14	58	719
15	61	704
16	64	697
17	67	681
18	70	673
19	74	672
20	78	670
21	82	664
22	84	652
23	87	640
24	89	627
25	93	626
26	96	616
27	100	614
28	103	607
29	106	602
30	108	593
31	111	585
32	113	575
33	116	570
34	119	564
35	122	557
36	124	550
37	127	545
38	130	539
39	133	533
40	136	528
41	138	519
42	141	517
43	144	511
44	147	508
45	150	505
46	154	501
47	157	499
48	160	494
49	164	492
50	167	488
51	169	483
52	172	477
53	174	472
54	178	470
55	183	471
56	186	468
57	189	464
58	193	462
59	198	462
60	202	461
61	207	462
62	211	459
63	214	455
64	217	452
65	220	447
66	224	445
67	226	440
68	229	436
69	231	430
70	234	425
71	236	420
72	238	415
73	241	411
74	244	407
75	247	403
76	249	398
77	252	395
78	254	389
79	256	385
80	259	380
81	261	376
82	265	374
83	269	371
84	272	368
85	277	367
86	279	363
87	283	360
88	285	356
89	288	352
90	291	348
91	293	344
92	296	340
93	298	337
94	301	333
95	305	330
96	308	327
97	312	324
98	314	320
99	317	317
100	319	312
101	321	309
102	324	305
103	327	302
104	329	298
105	331	294
106	334	290
107	337	287
108	341	284
109	343	281
110	345	277
111	347	273
112	350	269
113	352	265
114	354	261
115	357	258
116	360	255
117	364	253
118	367	249
119	371	247
120	374	244
121	377	241
122	381	238
123	384	235
124	387	232
125	390	229
126	393	226
127	396	222
128	399	219
129	403	217
130	406	214
131	411	211
132	417	210
133	421	207
134	425	204
135	429	201
136	432	198
137	435	195
138	438	192
139	441	189
140	444	185
141	447	182
142	451	179
143	454	176
144	458	173
145	460	170
146	463	167
147	466	163
148	469	160
149	471	157
150	474	154
151	477	150
152	479	147
153	481	143
154	483	140
155	486	137
156	488	133
157	490	130
158	493	127
159	496	124
160	499	120
161	501	117
162	504	114
163	505	111
164	508	107
165	510	104
166	512	101
167	515	98
168	521	95
169	524	92
170	527	89
171	529	86
172	532	83
173	535	79
174	537	76
175	541	73
176	543	70
177	546	67
178	549	64
179	552	61
180	556	58
181	559	55
182	562	52
183	565	49
184	569	46
185	573	43
186	575	40
187	578	36
188	582	33
189	585	30
190	588	27
191	592	24
192	594	21
193	598	18
194	601	15
195	603	12
196	605	9
197	608	6
198	611	3
199	613	0
