iter	RMSE
0	0.7635044813
1	0.7573201847
2	0.7504812382
3	0.7434122475
4	0.738576368
5	0.7327163456
6	0.7281953693
7	0.7237674515
8	0.7189745689
9	0.7146702626
10	0.710248363
11	0.7062223256
12	0.7027244066
13	0.699309134
14	0.6954614068
15	0.6926872784
16	0.6907883924
17	0.6878762583
18	0.685644164
19	0.6829901286
20	0.6804793888
21	0.6783306955
22	0.6763796156
23	0.6740282636
24	0.6721513722
25	0.6700209505
26	0.6678313507
27	0.6658198608
28	0.6642931653
29	0.6622706306
30	0.6605305914
31	0.6585957225
32	0.6574915484
33	0.6560097721
34	0.6545111054
35	0.6534404337
36	0.6519447712
37	0.6505752676
38	0.6488504482
39	0.6474987202
40	0.6464735334
41	0.6454102961
42	0.6438734559
43	0.6430750766
44	0.6417996116
45	0.6409831572
46	0.639978339
47	0.6388941574
48	0.6376204987
49	0.6364277881
50	0.6357088099
51	0.6347810728
52	0.6341351493
53	0.6332748071
54	0.632474452
55	0.6316520661
56	0.6310898832
57	0.6301666028
58	0.6292609854
59	0.6281844151
60	0.6271924212
61	0.6265568824
62	0.6260553961
63	0.6249822677
64	0.6240400489
65	0.6233529408
66	0.6222782331
67	0.6215965299
68	0.6208510468
69	0.6201843185
70	0.6196863867
71	0.6189297143
72	0.6182058047
73	0.6177659502
74	0.6164825497
75	0.6157527919
76	0.6151295057
77	0.6143667615
78	0.6137218198
79	0.612811925
80	0.6121352326
81	0.6111940571
82	0.6101506232
83	0.6090824443
84	0.608135009
85	0.6076042228
86	0.6066167447
87	0.6060859654
88	0.6055230188
89	0.6044666909
90	0.6038456364
91	0.6031435942
92	0.6028385702
93	0.6021312895
94	0.6013308046
95	0.6007757906
96	0.6001908963
97	0.5996209276
98	0.5988872625
99	0.5983778505
100	0.5979443727
101	0.5973779383
102	0.5968125418
103	0.5960584856
104	0.5952771603
105	0.5946326393
106	0.5940194702
107	0.5932021553
108	0.5926680596
109	0.5925062757
110	0.5918041771
111	0.5909735545
112	0.5903479861
113	0.5899032981
114	0.5895517326
115	0.5890963531
116	0.5884464392
117	0.5879129229
118	0.5871644766
119	0.5865787509
120	0.5861176788
121	0.5854072933
122	0.5846633497
123	0.584356481
124	0.5836372968
125	0.5828654171
126	0.5822852827
127	0.581678432
128	0.5810019309
129	0.5804406518
130	0.5799103913
131	0.5794701982
132	0.5789607421
133	0.5785351271
134	0.5780170194
135	0.5773980034
136	0.5771726762
137	0.5766504724
138	0.5759005817
139	0.575572957
140	0.5750788638
141	0.5745533332
142	0.5738822793
143	0.5734654963
144	0.5727315034
145	0.5720507512
146	0.5715244702
147	0.5708327358
148	0.5703751015
149	0.5699158286
150	0.5695805403
151	0.5689398506
152	0.5684110366
153	0.5682977786
154	0.5676210163
155	0.5670354283
156	0.5666112882
157	0.5659900853
158	0.5653743624
159	0.564932748
160	0.5645589698
161	0.5642822506
162	0.5635304114
163	0.5631992819
164	0.5631120344
165	0.5627212646
166	0.5615378267
167	0.5610306193
168	0.5607793306
169	0.5601541006
170	0.559733747
171	0.5592145122
172	0.5584607802
173	0.5578183049
174	0.5574322437
175	0.5569696337
176	0.5564386254
177	0.5561805211
178	0.5557033354
179	0.5550907132
180	0.5548478917
181	0.5542851465
182	0.5540389001
183	0.553681279
184	0.5531022701
185	0.5529518864
186	0.5521060162
187	0.5516953349
188	0.5512128462
189	0.5510943884
190	0.5506251869
191	0.5499030811
192	0.5493436091
193	0.549245816
194	0.5489003383
195	0.5488143576
196	0.5487317535
197	0.5482576714
198	0.5477034138
199	0.5475095323
200	0.5472924954
201	0.5468600234
202	0.5457109554
203	0.5453006359
204	0.5449227909
205	0.5446636012
206	0.5434854778
207	0.5428856004
208	0.5424761645
209	0.5423956748
210	0.5415400403
211	0.5409203716
212	0.5407096063
213	0.5400264607
214	0.5398714321
215	0.5395753049
216	0.5394195931
217	0.5389687479
218	0.5384667346
219	0.5378443397
220	0.5377728707
221	0.5373705573
222	0.537089878
223	0.5365854226
224	0.5362580109
225	0.5361942885
226	0.5361186167
227	0.535926348
228	0.5353510383
229	0.5346527213
230	0.5343994306
231	0.5339987692
232	0.5331909144
233	0.5325232017
234	0.5324762416
235	0.5323830099
236	0.5322796514
237	0.5321356679
238	0.5317308747
239	0.5311424305
240	0.530603287
241	0.5304311421
242	0.5300188879
243	0.5299909516
244	0.5291634424
245	0.5291159047
246	0.5282967815
247	0.5282035649
248	0.5275288413
249	0.5268781875
250	0.5263674549
251	0.5262172615
252	0.5261664849
253	0.5257087841
254	0.5248794064
255	0.5241876483
256	0.5238946505
257	0.5237937933
258	0.5230724283
259	0.5222882645
260	0.5211545857
261	0.520595709
262	0.5199029666
263	0.5193644689
264	0.518838882
265	0.5183435387
266	0.5177414934
267	0.5172300439
268	0.5165232355
269	0.5159018587
270	0.5154152697
271	0.5153659425
272	0.5148246318
